,patch,matchup,wins,losses,win_rate,loss_rate,games,t_win_rate
0,3.11,PvT,7242,7211,0.501,0.499,14453,0.499
2,3.11,TvZ,10701,11457,0.483,0.517,22158,0.483
3,3.12,PvT,17332,17108,0.503,0.497,34440,0.497
5,3.12,TvZ,23093,24280,0.487,0.513,47373,0.487
6,3.14,PvT,50321,48892,0.507,0.493,99213,0.493
8,3.14,TvZ,67832,71081,0.488,0.512,138913,0.488
9,3.8,PvT,20064,20330,0.497,0.503,40394,0.503
11,3.8,TvZ,29265,30531,0.489,0.511,59796,0.489
12,4.0,PvT,15942,12770,0.555,0.44499999999999995,28712,0.44499999999999995
14,4.0,TvZ,14343,14797,0.492,0.508,29140,0.492
15,4.1.1,PvT,31744,26720,0.543,0.45699999999999996,58464,0.45699999999999996
17,4.1.1,TvZ,31638,31289,0.503,0.497,62927,0.503
18,4.1.4,PvT,17475,15783,0.525,0.475,33258,0.475
20,4.1.4,TvZ,19999,19558,0.506,0.494,39557,0.506
21,4.10.1,PvT,133789,115615,0.536,0.46399999999999997,249404,0.46399999999999997
23,4.10.1,TvZ,142009,133246,0.516,0.484,275255,0.516
24,4.11.4,PvT,178392,152576,0.539,0.46099999999999997,330968,0.46099999999999997
26,4.11.4,TvZ,179497,169936,0.514,0.486,349433,0.514
27,4.2.1,PvT,36793,32974,0.527,0.473,69767,0.473
29,4.2.1,TvZ,42598,43115,0.497,0.503,85713,0.497
30,4.3,PvT,186907,165623,0.53,0.47,352530,0.47
32,4.3,TvZ,198031,196358,0.502,0.498,394389,0.502
33,4.8.3,PvT,122025,105392,0.537,0.46299999999999997,227417,0.46299999999999997
35,4.8.3,TvZ,126438,120879,0.511,0.489,247317,0.511
36,5.0.2,PvT,71351,61387,0.538,0.46199999999999997,132738,0.46199999999999997
38,5.0.2,TvZ,70658,65997,0.517,0.483,136655,0.517
