,map_name,pillar_label,wins,losses,games,win_perc
28,Eternal Empire LE,Pillar can see natural entrance,136025,126537,262562,0.5180681134360646
29,Ever Dream LE,Pillar can see natural entrance,113065,106895,219960,0.5140252773231496
16,Catalyst LE,Pillar can see natural entrance,91444,88249,179693,0.5088901626663254
37,Kairos Junction LE,Pillar can see natural entrance,91646,87625,179271,0.5112148646462618
58,Simulacrum LE,Pillar can see natural entrance,89119,86836,175955,0.5064874541786252
3,Acid Plant LE,Pillar can see natural entrance,88823,86559,175382,0.5064544822159629
45,Nightshade LE,Pillar can see natural entrance,83834,78424,162258,0.5166709807836902
27,Ephemeron LE,Pillar can see natural entrance,70943,67143,138086,0.5137595411555118
2,Abyssal Reef LE,No pillar,65778,67311,133089,0.4942406960755585
62,Triton LE,Pillar can see natural entrance,67354,63880,131234,0.5132358992334304
5,Acropolis LE,Pillar can see natural entrance,66743,63557,130300,0.5122256331542594
43,New Repugnancy LE,Pillar can see natural entrance,65888,63772,129660,0.5081598025605429
18,Cyber Forest LE,Pillar can see natural entrance,62296,62042,124338,0.5010214093840982
21,Deathaura LE,Pillar cannot see natural entrance,62985,57932,120917,0.5208944978787102
6,Ascension to Aiur LE,Pillar can see natural entrance,57632,59415,117047,0.4923834015395525
